Id,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,date
1503960366,1,327,346,2016-04-12
1503960366,2,384,407,2016-04-13
1503960366,1,412,442,2016-04-15
1503960366,2,340,367,2016-04-16
1503960366,1,700,712,2016-04-17
1503960366,1,304,320,2016-04-19
1503960366,1,360,377,2016-04-20
1503960366,1,325,364,2016-04-21
1503960366,1,361,384,2016-04-23
1503960366,1,430,449,2016-04-24
1503960366,1,277,323,2016-04-25
1503960366,1,245,274,2016-04-26
1503960366,1,366,393,2016-04-28
1503960366,1,341,354,2016-04-29
1503960366,1,404,425,2016-04-30
1503960366,1,369,396,2016-05-01
1503960366,1,277,309,2016-05-02
1503960366,1,273,296,2016-05-03
1503960366,1,247,264,2016-05-05
1503960366,1,334,367,2016-05-06
1503960366,1,331,349,2016-05-07
1503960366,1,594,611,2016-05-08
1503960366,1,338,342,2016-05-09
1503960366,1,383,403,2016-05-10
1503960366,1,285,306,2016-05-11
1644430081,1,119,127,2016-04-29
1644430081,1,124,142,2016-04-30
1644430081,1,796,961,2016-05-02
1644430081,1,137,154,2016-05-08
1844505072,1,644,961,2016-04-15
1844505072,1,722,961,2016-04-30
1844505072,1,590,961,2016-05-01
1927972279,3,750,775,2016-04-12
1927972279,1,398,422,2016-04-13
1927972279,2,475,499,2016-04-15
1927972279,1,296,315,2016-04-26
1927972279,1,166,178,2016-04-28
2026352035,1,503,546,2016-04-12
2026352035,1,531,565,2016-04-13
2026352035,1,545,568,2016-04-14
2026352035,1,523,573,2016-04-15
2026352035,1,524,567,2016-04-16
2026352035,1,437,498,2016-04-17
2026352035,1,498,540,2016-04-19
2026352035,1,461,510,2016-04-20
2026352035,1,477,514,2016-04-21
2026352035,1,520,545,2016-04-22
2026352035,1,522,554,2016-04-23
2026352035,1,555,591,2016-04-24
2026352035,1,506,531,2016-04-25
2026352035,1,508,545,2016-04-27
2026352035,1,513,545,2016-04-28
2026352035,1,490,510,2016-04-29
2026352035,1,573,607,2016-04-30
2026352035,1,527,546,2016-05-01
2026352035,1,511,543,2016-05-02
2026352035,1,538,560,2016-05-04
2026352035,1,468,485,2016-05-05
2026352035,1,524,548,2016-05-06
2026352035,1,511,521,2016-05-07
2026352035,1,541,568,2016-05-08
2026352035,1,531,556,2016-05-09
2026352035,1,357,380,2016-05-10
2026352035,1,523,553,2016-05-11
2026352035,1,456,485,2016-05-12
2320127002,1,61,69,2016-04-23
2347167796,1,467,531,2016-04-13
2347167796,1,445,489,2016-04-14
2347167796,1,452,504,2016-04-15
2347167796,1,556,602,2016-04-17
2347167796,1,500,557,2016-04-18
2347167796,1,465,514,2016-04-19
2347167796,1,460,484,2016-04-21
